sample_ID,Bacteria;Actinobacteriota;Actinobacteria,Bacteria;Actinobacteriota;Coriobacteriia,Bacteria;Bacteroidota;Bacteroidia,Bacteria;Cyanobacteria;Vampirivibrionia,Bacteria;Desulfobacterota;Desulfovibrionia,Bacteria;Firmicutes;Bacilli,Bacteria;Firmicutes;Clostridia,Bacteria;Firmicutes;Negativicutes,Bacteria;Proteobacteria;Gammaproteobacteria,label
H18383,4,132,6698,13,0,72,5765,979,304,0
H30917,8,447,8961,0,1,646,4531,1634,2120,0
H18224,3,268,8572,87,3,1081,9039,229,56,0
H26031,16,961,5566,7,13,721,8486,880,630,0
H32815,8,125,13804,0,5,324,6316,802,181,0
H27330,2,367,5330,8,21,1214,8807,3561,332,0
H26003,5,66,10422,282,88,112,8870,2792,151,0
H26769,32,281,2469,10,3,1096,4092,407,1197,0
H18367,4,156,4545,2,8,876,7198,695,309,0
H18368,1,412,2287,33,55,993,7158,1155,84,0
H27108,5,16,6380,39,5,189,12141,3351,908,0
H25873,0,10,9818,0,0,273,5027,142,46,0
H18164,9,181,11702,0,978,197,2767,1080,448,1
H25952,0,149,5551,6,36,1469,8470,1035,725,0
H18166,4,326,6941,0,3,414,4740,638,7164,0
H25831,11,72,8175,0,150,1038,9245,3971,378,0
H26829,0,159,3094,0,8,380,4181,1110,80,0
H26695,24,28,4558,0,0,835,11082,5962,1048,0
H25983,4,179,5564,15,310,861,5697,475,349,0
H18391,7,1230,3481,16,7,1064,6318,3485,91,0
H27908,16,87,5117,9,14,2202,12549,5557,205,0
H25847,9,1088,10814,0,18,821,10111,228,59,0
H26731,5,190,2863,0,45,2296,11206,255,115,0
H25838,1,1,14774,0,0,98,2490,287,5730,0
H18195,2,642,5375,10,1,1047,9344,1460,400,1
H31033,11,189,16413,23,46,682,4816,2571,618,0
H31043,26,555,10833,0,0,1218,4920,1429,17856,0
H26825,3,65,3081,0,17,132,3210,2022,2039,0
H18356,155,482,3143,43,63,849,6111,111,210,0
H25921,26,204,5807,1,365,584,7294,3649,1072,0
H32776,50,92,11067,0,13,515,9155,2633,353,1
H27388,4,1024,5575,0,31,1600,12283,30,6038,0
H27989,2,734,12061,0,278,3052,7725,254,192,0
H32812,21,209,7522,0,76,863,7867,897,1839,0
H26918,1,8,4896,4,49,144,2424,968,1785,0
H26572,0,1,4292,2,52,77,1935,888,339,0
H30893,0,50,4552,0,29,496,6162,369,213,1
H18231,6,90,9040,0,190,809,7688,465,1060,0
H25829,0,32,7446,30,0,157,8504,1273,2152,0
H25874,14,166,9304,8,253,1696,10769,1167,7597,1
H26862,3,50,5458,15,6,472,4054,552,627,0
H21533,1,34,1889,24,59,630,3499,28,567,0
H25988,9,185,12339,0,54,624,6128,2830,502,0
H30950,61,1124,1160,90,3,2317,16504,24,1890,0
H26693,9,42,5397,0,0,788,4116,9934,2634,0
H27107,14,124,15279,0,434,462,13236,3125,978,0
H25862,3,27,16547,30,70,122,8894,832,1033,0
H18349,0,63,6163,0,124,265,3223,992,330,0
H27383,4,245,8136,0,0,56,13454,74,76,0
H26712,8,88,7803,0,0,214,3621,281,367,0
H25913,11,112,8636,0,7,362,8896,4512,1009,0
H26851,1,33,1260,22,0,413,6949,352,339,0
H32911,19,1968,7353,477,8,7591,10960,433,693,0
H18330,3,3,461,0,0,675,5623,6787,12430,0
H30968,31,494,10224,0,99,315,4689,842,4449,0
H26628,0,30,3528,0,49,230,2565,704,3518,0
H26706,1,320,8134,28,12,1145,4165,263,246,0
H31162,6,685,4692,0,172,975,10983,923,16703,1
H26072,11,820,5658,12,60,1054,3855,393,1030,0
H25823,3,812,13081,0,15,260,10670,1118,229,0
H18121,3,170,4320,0,16,99,3325,1179,395,0
H27899,1,136,11807,0,7,532,5982,3362,101,0
H26091,5,279,1830,4,0,821,6060,173,45,0
H18362,3,68,8735,0,503,533,7648,2787,304,0
H25989,2,147,10896,639,49,540,5448,674,2919,0
H27266,17,210,4391,0,9,1708,11002,1710,9518,0
H30949,386,1869,2485,4,3,2502,15016,85,92,0
H27083,2,120,11539,97,21,490,12166,1755,701,0
H27198,4,45,7637,35,3,832,10891,1589,796,0
H27113,0,22,7733,0,77,1145,6480,744,166,0
H27957,2,305,6626,15,10,664,11993,444,1984,0
H25916,0,244,21041,0,234,310,7013,4243,1640,0
H18167,9,234,6601,1,177,311,3549,1069,660,0
H31122,2,285,14555,0,61,1211,5895,1041,19503,1
